Relatório Saldo Estoque (Inventário) -  Razão Social: A. E. DE SOUZA - CNPJ: 09.273.149/0001-19 - Estoque Existente no dia 07/04/2026 - Livro: 1;;;;;;;;;
Código;Descrição;Unidade;Estoque;Compra Unt.;Saldo Compra;Venda Unt.;Venda Atacado;Saldo Venda;Saldo Atacado
1675;10808 CARTAGO DAKAR DEDO INFA;UN; 3,000; 16,40; 49,20; 30,00; 22,00; 90,00; 66,00
1672;11768 RIDER STREET INFANTIL;UN; 101,000; 14,50; 1.464,50; 30,00; 19,00; 3.030,00; 1.919,00
1674;11858 CARTAGO ALABAMA ;UN; 2,000; 23,50; 47,00; 45,00; 33,00; 90,00; 66,00
1710;11983 RIDER DRIP SLIDE;UN; 24,000; 40,00; 960,00; 75,00; 52,00; 1.800,00; 1.248,00
1630;12118 CARTAGO OSLO;UN;- 2,000; 24,00;- 48,00; 65,00; 38,00;- 130,00;- 76,00
1635;12222 RIDER JOY BABUCH;UN; 4,000; 33,00; 132,00; 55,00; 44,00; 220,00; 176,00
1638;12303 RIDER FEEL ;UN; 42,000; 13,12; 551,04; 30,00; 19,00; 1.260,00; 798,00
1644;12323 RIDER FREE 00055;UN; 2,000; 27,90; 55,80; 55,00; 38,00; 110,00; 76,00
1636;12354 RIDER KICK PAPETE ;UN; 3,000; 31,33; 93,99; 70,00; 45,00; 210,00; 135,00
1642;12489 CARTAGO ATLANTA PAPETE;UN; 12,000; 38,00; 456,00; 78,00; 53,00; 936,00; 636,00
1608;12517 CARTAGO ARIXONA LI;UN; 1,000; 22,38; 22,38; 46,00; 34,00; 46,00; 34,00
1643;12517 CARTAGO ARIZONA LI ;UN; 4,000; 18,45; 73,80; 40,00; 28,00; 160,00; 112,00
1673;12563 RIDER START INFANTIL ;UN; 15,000; 23,50; 352,50; 45,00; 33,00; 675,00; 495,00
1667;18845 GRENDHA CACAU LUAR ;UN; 0,000; 19,00; 0,00; 30,00; 22,00; 0,00; 0,00
1670;19083 GRENDHA TODO DIA ;UN; 12,000; 19,00; 228,00; 45,00; 27,00; 540,00; 324,00
1668;19316 GRENDHA MAIS CONFO;UN; 5,000; 26,90; 134,50; 55,00; 40,00; 275,00; 200,00
1645;22303 DISNEY 00070;UN; 10,000; 31,33; 313,30; 70,00; 45,00; 700,00; 450,00
1633;22459 SANDALIA BARBIE DUO ;UN; 26,000; 30,00; 780,00; 65,00; 45,00; 1.690,00; 1.170,00
1634;22710 PATRULHA CANINA ;UN; 9,000; 26,86; 241,74; 65,00; 39,00; 585,00; 351,00
